Еда,гр./мл./шт.
I. Завтрак
  1. Овсянка на воде,85 гр.
  2. Яйцо(белок),5 шт.
  3. Хлебцы(Dr.Korner),1 упк.
  4. Мёд,2 ч.л.

II. Первый перекус
  1. Каша,85 гр.
  2. Бедро куриное,2 шт.
  3. Масло оливковое/льяное,1 стл.л.
  4. Хлебцы(Dr.Korner),1 упк.

III. Обед
  1. Каша,85 гр.
  2. Бедро куриное,2 шт.
  3. Масло оливковое/льяное,1 стл.л.
  4. Огурец/помидор, 1шт.
  5. Сыр,30 гр.

IV. Второй перекус
  1. Каша,85 гр.
  2. Орехи,50 гр.
  3. Творог0%,200 гр.

V. Ужин
  1. Каша,85 гр.
  2. Скумбрия,200 гр.

