Еда,гр./мл./шт.
I. Завтрак
  1. Вода(перед едой на тощак),500 мл.
  2. Овсяная каша на воде,50 гр.
  3. Яйцо(белок),3 шт.
  4. Орехи(желательно грецкий орех),30 гр.

II. Первый перекус
  1. Каша,50 гр.
  2. Филе куриное(вареное),150 гр.
  3. Огурец/помидор,1 шт.

III. Обед
  1. Каша,50 гр.
  2. Филе куриное(вареное)/говядина,150 гр.
  3. Огурец/помидор,1 шт.

IV. Второй перекус
  1. Творог обезжиренный,150 гр.
  2. Грейпфрут/киви/зеленое яблоко,1шт.

V. Ужин
  1. Филе куриное(вареное),100 гр.
  2. Кефир 0%,200 мл.
  3. Огурец/помидор,1 шт.

