Еда,гр./мл./шт.
I. Завтрак
  1. Овсянка на воде,75 гр.
  2. Орехи(Желательно грецкий),20 гр.
  3. Желток,1 шт.
  4. Яйцо(Белок),3 шт.

II. Первый перекус
  1. Каша,75 гр.
  2. Филе куриное,150 гр.

III. Обед
  1. Каша,75 гр.
  2. Филе куриное,150 гр.
  3. Салат из овощей,1 стл.л.

IV. Второй перекус
  1. Каша,75 гр.
  2. Творог 1%,200 гр.
  3. Яблоко(зеленое),1 шт.

V. Ужин
  1. Каша,75 гр.
  2. Скумбрия(запеченая),150 гр.

IV. Поздний ужин
  1. Каша,75 гр.
  2. Скумбрия(запеченая),150 гр.
  3. Хлебцы(Dr.Korner),2 шт.
  4. Паста арахисовая,30 гр.
  5. Огурец/помидор,1 шт.

